id,object_name,object_id,start_time,end_time,duration
eztv.re,coat,faf3eab3,1027.026,1036.786,9.75974999999994
eztv.re,person,aac197e9,1027.026,1036.786,9.75974999999994
eztv.re,glasses,4cf90158,1027.026,1036.786,9.75974999999994
eztv.re,tie,e9e6716b,1027.026,1036.786,9.75974999999994
eztv.re,outerwear,179c76a6,1027.026,1036.786,9.75974999999994
eztv.re,tie,09f53b58,1027.026,1036.786,9.75974999999994
eztv.re,person,05c29019,1412.161,1421.795,9.634624999999915
eztv.re,person,83bc7c39,910.660,920.169,9.509500000000003
eztv.re,tie,44337af3,910.660,920.169,9.509500000000003
eztv.re,outerwear,f8d2afc6,910.660,920.169,9.509500000000003
eztv.re,person,9cd9361d,1405.404,1414.663,9.259250000000065
eztv.re,outerwear,7b0de978,417.792,427.052,9.259250000000009
eztv.re,person,41257b03,1245.870,1255.004,9.13412500000004
eztv.re,person,7bb6bc7b,1307.431,1316.565,9.13412500000004
eztv.re,person,c0b95032,2476.724,2485.858,9.134124999999585
eztv.re,clothing,3ec5b4fc,482.607,491.616,9.009000000000015
eztv.re,person,06087617,482.607,491.616,9.009000000000015
eztv.re,person,7723d3a9,482.607,491.616,9.009000000000015
eztv.re,person,b3e5518d,1437.311,1446.195,8.883875000000216
eztv.re,person,83098333,1437.311,1446.195,8.883875000000216
eztv.re,person,b6cac37a,1437.311,1446.195,8.883875000000216
eztv.re,person,edbda1bb,1437.311,1446.195,8.883875000000216
eztv.re,outerwear,e7127d87,482.732,491.616,8.883874999999989
eztv.re,suit,ff665d28,1896.895,1905.779,8.883874999999989
eztv.re,person,60d9b56c,1387.386,1396.270,8.883874999999989
eztv.re,person,858bc8de,2371.869,2380.628,8.758750000000418
eztv.re,person,b350e266,1396.395,1405.154,8.758749999999964
eztv.re,person,88c432de,2540.288,2549.046,8.758749999999964
eztv.re,dress,feb4c09b,1428.552,1437.186,8.633625000000166
eztv.re,dress,9424e3b3,1437.311,1445.945,8.633625000000166
eztv.re,curtain,65937c71,1428.552,1437.186,8.633625000000166
eztv.re,dress,bbd45b13,1428.552,1437.186,8.633625000000166
eztv.re,person,fe1aa405,1428.552,1437.186,8.633625000000166
eztv.re,outerwear,79718a47,1520.394,1529.027,8.633624999999938
eztv.re,luggage & bags,bd1fab63,482.732,491.241,8.50849999999997
eztv.re,person,ce0786c0,1396.395,1404.903,8.508499999999913
eztv.re,person,1c07bcd8,1101.475,1109.984,8.508499999999913
eztv.re,person,88c4ab9f,1307.431,1315.940,8.508499999999913
eztv.re,clothing,de92b47f,1101.475,1109.984,8.508499999999913
eztv.re,person,b4e84291,1779.403,1787.786,8.383375000000115
eztv.re,suit,f2e9bc80,238.363,246.746,8.383375000000001
eztv.re,dress,d51f9937,1405.279,1413.537,8.25825000000009
eztv.re,person,fd1225cd,2477.600,2485.858,8.258249999999862
eztv.re,table top,3629639e,762.887,771.020,8.133125000000064
eztv.re,person,734eb346,1204.203,1212.336,8.133125000000064
eztv.re,person,4dd7b02e,1204.203,1212.336,8.133125000000064
eztv.re,person,52b7825b,1778.527,1786.660,8.133125000000064
eztv.re,outerwear,e1a3450e,1204.203,1212.336,8.133125000000064
eztv.re,outerwear,da893c63,1204.203,1212.336,8.133125000000064
eztv.re,jacket,7b63419f,2569.817,2577.950,8.133124999999836
eztv.re,picture frame,a9443348,1554.303,1562.311,8.008000000000038
eztv.re,person,bf5098e2,1429.303,1437.186,7.882875000000013
